i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
0062-004-001,2019-20,Mainland Rural,0.8050229259462565,0.8635867463160188,0.37848261048000204,0.09564370373269844,0.14657933354276473,0.12991855592785267,0.7654886112610422,1.0083922143968203,0.1807088625253777,0.7946230740179853,0.5489964105420273,0.7040952525308062
0063-001-003,2019-20,Dar Es Salaam,1.2136617444620228,1.4328625530827386,0.7076077218490745,0.15749874399968122,0.21906969470629362,0.2669386568328634,1.1711098332163172,1.6775828477595154,0.2375747220288219,1.2081094861956054,0.8321138344356254,1.1187883983352642
0065-001-001,2019-20,Mainland Rural,1.8358398181645659,2.1256281267334405,1.1564356837099634,0.26547491363815795,0.3141845416745849,0.4341342818118754,1.7503439490084387,2.859799119578315,0.490218233887587,1.7000334388932115,1.2358239433316873,1.6715247367814519
0066-003-003,2019-20,Mainland Rural,0.5790949981464824,0.6125947148500511,0.0957923722806643,0.023247876823666306,0.15704297138295317,0.03531336556278489,0.6581235787335152,0.33612665641829975,0.07236211718711671,0.8108682378634638,0.5129158010408914,0.5486187388978702
0066-003-006,2019-20,Mainland Other Urban,0.6979715437994543,0.788357138803117,0.19023554482238922,0.05904774333235956,0.1672689204835082,0.04740549704554216,0.7345792230234757,0.6547780068166693,0.0918040299107801,0.8747851591473045,0.5686109964439259,0.6615734745081502
0067-001-001,2019-20,Mainland Rural,1.0135679218334155,1.0769307144304212,0.483054228348668,0.10057062069883461,0.18887199703139718,0.20099140809776944,0.9786778401162433,1.1059100623210125,0.2575505364615154,1.0402969348044602,0.7060935623015312,0.8835139287483791
0067-001-002,2019-20,Mainland Rural,0.8294086848006595,0.8779952510871877,0.1321443717608581,0.0369701028963549,0.25015942654699125,0.0407101215746762,0.9770339477671577,0.4293058285057513,0.0959931257880486,1.253394516157868,0.7907018985790759,0.7925893958118408
0067-004-001,2019-20,Mainland Rural,0.5251798009747122,0.5610685990025392,0.08529903273337723,0.02558931861774278,0.14430722876275018,0.023527730883261416,0.5945657192038794,0.3203006270192837,0.0592376908436998,0.7408903850088008,0.46840541598587,0.4987859766191231
0069-002-001,2019-20,Mainland Rural,0.6153671139811657,0.6528798754360117,0.16512161579057075,0.049266825591364666,0.13760291288650675,0.045726329146305644,0.6279258209768531,0.5388155756350242,0.09644445054621752,0.7339962670238707,0.4759722614061563,0.5567934039439333
0071-001-001,2019-20,Mainland Rural,1.19145283734796,1.3365259684476896,0.4282182455989596,0.10107347498133315,0.24362152587898314,0.16158213211643246,1.1979562936641708,1.2633048646647347,0.259563744983324,1.3216461759703804,0.8878182295346314,1.1059794059779409
0071-001-003,2019-20,Mainland Other Urban,1.2417725711510137,1.4709359671692883,0.6138649175560511,0.14980071346219698,0.2619845472941285,0.21366819668177509,1.2900652132224335,1.668803264577805,0.23691636103829605,1.3730163847111008,0.9447375224213391,1.190484387823104
0072-001-001,2019-20,Mainland Other Urban,0.8699875059301578,0.9308137864053968,0.2721251506073654,0.06828600012103761,0.18684020613812324,0.09623930752120577,0.8650871863287299,0.7606169791783983,0.1668355185398847,1.0092976986011626,0.6585134092511993,0.7789387891301046
0072-003-001,2019-20,Mainland Other Urban,0.7153483066416098,0.8143223548194745,0.28637920488336666,0.0700307635483956,0.13147945827954202,0.10141950469705899,0.7024121540661564,0.8664367601102254,0.13657127507904618,0.7334786193814997,0.49761086961856876,0.6651032396989413
0073-001-001,2019-20,Mainland Rural,0.6406640757075409,0.6590012187696762,0.2526957567514141,0.06336092402729211,0.14200288298242036,0.08620890125269064,0.6501058004923242,0.5974877796079324,0.11039085407731629,0.7455089094732053,0.4873874703055845,0.5565221136112917
0073-001-002,2019-20,Mainland Rural,1.0763128062069003,1.2058445088522405,0.4577830058858203,0.11703115099633901,0.2053789787463361,0.15487270198851363,1.0571302445372153,1.331036716190823,0.2219485367514034,1.116399234775948,0.7636933992929135,0.9859604960345795
0074-001-001,2019-20,Mainland Rural,0.5329797584515645,0.5463874669175923,0.08942546420190112,0.02210122882113431,0.1472627740453951,0.032203730271169434,0.6004775793194373,0.2590750044542375,0.06542694705944885,0.7586400741639793,0.4745189364197604,0.49113177448664036
0075-001-003,2019-20,Mainland Rural,1.2992526107533773,1.462998582301754,0.6307239473346689,0.1390488367059339,0.2902332610670043,0.24373047629759834,1.3776808757650025,1.5137572577603788,0.2614657556264587,1.5055787875779394,1.0183835167797257,1.2110610014141363
