i,t,m,Beef,Bread,Coconuts,Eggs,Maize (flour),Plantains,Rice (husked),Salt,Soft drinks,Sugar,Sweets,Tea (dry)
0081-004-001,2019-20,Mainland Rural,0.42776500929189243,0.4291945864904675,0.7259772187615168,0.10402059714918618,6.830344933206623,2.506823848059247,1.471134692136874,0.1669001785439574,0.33321354836354566,0.2665969282786489,0.009055796536198804,0.011202022021126835
0082-001-001,2019-20,Mainland Rural,0.6539016099423923,0.9379007297373498,1.9228392798507257,0.16694081419887744,10.715338796450787,5.7496445790364215,3.155241484668993,0.23185468271771056,1.0224377031122611,0.5781529996400058,0.03057659601935967,0.023739378518923104
0082-003-001,2019-20,Mainland Other Urban,1.6467017024913269,0.911667193785674,2.286829865494096,0.3318047236507157,7.550130744852635,3.6638877774458956,3.8449615328693896,0.245994435332848,1.5559153616312162,0.8146938319222587,0.03405959453158069,0.031137751670519295
0082-003-002,2019-20,Dar Es Salaam,2.140814710361124,1.0743620489858547,2.982636874550671,0.512672849653508,3.0221041774186284,2.204361694760162,6.398534850689818,0.2630061556008753,3.234779816221359,1.2376406673381959,0.2853899816374316,0.049913687468321845
0082-004-001,2019-20,Mainland Other Urban,1.2028896769089448,0.9881024062409444,1.1348719500215463,0.3815916784218368,8.254512418605097,3.093238894318894,4.504522611598018,0.23910906498258636,0.6657032737152488,0.5574090096229625,0.008066005888411972,0.017419383968875587
0082-005-001,2019-20,Dar Es Salaam,1.500895748476602,1.2842372004775773,2.0484818678873813,0.5741909004637498,2.779284218266243,2.1380905560856953,4.899010267705805,0.23761942273075254,2.4348197590450535,0.9430223227864136,0.07813265275093147,0.03327313210221603
0083-001-001,2019-20,Mainland Rural,1.6179476499041447,1.0674203659559574,3.200285724643993,0.5365544095116316,8.177429315627942,5.334021890952327,7.438177959976156,0.3040946410494932,2.6348148215782126,1.0632502713799779,0.056569194548834,0.02608694324524664
0084-001-001,2019-20,Mainland Rural,0.8788099281955511,0.6518711868802328,1.1524068178146734,0.23504732283478558,10.094287512075699,4.427163080707772,2.8548236641001408,0.2115229238419768,0.6650999311685621,0.45354431245498855,0.005502086499342145,0.015624682178987728
0084-002-001,2019-20,Mainland Rural,1.6147375737115681,1.1737211522794075,2.5030080882923613,0.5646483241647653,7.596319191547213,6.234097566895834,6.558716751676417,0.2976948650041192,2.7357095805036096,1.272296019689517,0.10545594495704305,0.029209583053276218
0085-001-001,2019-20,Mainland Rural,0.983745877767322,0.7673200959109105,1.8239335663296532,0.3265719479651033,2.60992228291595,2.2487384311195857,1.875929851164784,0.2076252891860842,1.545124092291933,0.6368593122284908,0.07705874496434806,0.024890829395291237
0085-002-001,2019-20,Mainland Other Urban,1.0766156231491373,0.854946966015994,1.8162372456756064,0.36765762523937057,3.666375995793238,1.9436139034630862,3.140995171798887,0.22642080540387147,1.3702822154394096,0.668844697580093,0.05536579148874593,0.029189100275522246
0085-003-001,2019-20,Mainland Other Urban,1.0327449527581627,0.8758262162191374,1.3319470749091575,0.34430615791201635,4.765432857434049,2.686055059140246,3.17685682612717,0.2269944339376724,0.9143756549919793,0.6094814247727981,0.025790794725883963,0.02303416010879721
0086-001-001,2019-20,Dar Es Salaam,0.5822265543707326,0.9345828593826635,0.8540605831180627,0.15572662023374878,4.6092854578431295,1.7001676919541238,2.518588634549715,0.1716463136446389,0.566175524279164,0.371812064775823,0.010894082527533345,0.019176113835507047
0087-001-001,2019-20,Mainland Rural,1.279469856297088,0.6190054502507606,1.6651216582945727,0.3574550527835751,5.684259088249476,3.03097233363772,3.6584277115954213,0.2352290580435894,1.2253722867803074,0.7638745028991314,0.028868427458357056,0.023709774048320788
0087-001-002,2019-20,Mainland Rural,0.6871127253589868,0.6307696956715554,1.0807945140586257,0.1832242541657833,5.789095905643476,3.5115182127199205,2.4885409502214793,0.19253194573360524,0.4546064744171578,0.4596934845204839,0.012706325499788548,0.01663559473456847
0088-001-001,2019-20,Mainland Rural,0.9433386234065212,0.7333660433999869,1.7550143756116297,0.16185460879326918,12.113787835072081,5.453623567912718,2.9550799893852964,0.2373943560230167,0.7074596181068863,0.5973958881350284,0.015425292359509056,0.01987287334435344
0089-001-001,2019-20,Mainland Rural,1.351758142065453,1.3429009536802075,3.312700745273601,0.482865993198154,15.167448369152211,9.351359097663318,6.230102525266992,0.3540870728726301,2.892730490046736,1.140391196829304,0.06064113116255429,0.04075693231405698
0089-002-001,2019-20,Mainland Rural,0.9977183347984814,0.6123495823351689,1.4861124099474916,0.3363871666301795,5.429618370050325,2.6714891501528726,2.9700198904681816,0.2246255043203594,1.1239459755990653,0.6624360871131582,0.01817868830452363,0.02025297089283905
0089-002-002,2019-20,Mainland Other Urban,0.7414818451777476,0.6170829306175235,0.778154373943599,0.17405791722359482,4.288275299925555,1.9241595934565088,1.9897491318245493,0.16912223206947488,0.4774118607200865,0.36643453670566384,0.012620107054867276,0.015750641905062694
0090-001-001,2019-20,Mainland Rural,1.773076204667383,1.0955271318381372,3.2446075380126698,0.4287546968062769,6.346494600576643,6.072530244646714,5.1465505491532175,0.2649179769153094,2.526523944412148,1.1453447955710214,0.08320709869956659,0.03281131323156789
