i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
0082-004-001,2019-20,Mainland Other Urban,57010.9583825075,1420.5873385123311,4209.274095058496,30.52733427374694,90.20115577215294,111.20421055750279,35.06879888554274,53.763829813438726,2941.5558599073843,12822.605788767509,369.4246679435442,265.6197239629999
0082-005-001,2019-20,Dar Es Salaam,44335.24403327469,1148.657979651429,8741.443488952063,45.93527203709998,39.511058150190216,385.70778253563185,22.471133528834393,75.02648215861916,4118.867507823408,6388.692002130012,204.27936755175025,192.3677025870361
0083-001-001,2019-20,Mainland Rural,73922.30106210474,1760.7813471305826,8772.579617295612,42.924352760930525,92.67508893015855,427.22508048317184,41.605341316197155,74.2019125186209,6076.103749679862,14135.97427121749,411.26014868819067,320.32935761788383
0084-001-001,2019-20,Mainland Rural,54987.27065445244,1326.6266012844135,3021.2511993249473,18.803785826782846,105.66032783695073,111.28905785343106,37.37940520742159,35.73622178533311,2740.4585974598326,14358.772020667715,407.9411808572635,261.17471724173845
0084-002-001,2019-20,Mainland Rural,69638.80260956427,1668.4138789411243,9169.643520980662,45.17186593318122,87.57252623363857,435.38651795846505,39.18618992461543,76.41652815786578,5148.734818966112,13155.897372751071,386.7080253859572,301.6952786240445
0085-001-001,2019-20,Mainland Rural,27296.70013591884,717.8256737928734,5241.041253567784,26.125755837208263,32.86183802335461,250.00794950708647,15.508346217366947,45.14349946275249,3221.178485315983,4718.07357973813,152.95992430121507,124.76817569998451
0085-002-001,2019-20,Mainland Other Urban,36224.39664781154,922.351567219338,5280.100886377109,29.412610019149646,44.183009837186034,223.7047047726675,20.210882745022907,50.23596448422262,3422.921678107158,6539.185297529358,201.31468521813233,162.80437809684696
0085-003-001,2019-20,Mainland Other Urban,39225.30269863212,995.3938280668616,4325.030979473858,27.54449263296131,54.61782411675846,150.47581899788847,22.862990543343848,47.510952893278414,2831.2852364833498,7870.485629180342,235.06492835659765,179.9232246369443
0086-001-001,2019-20,Dar Es Salaam,32971.29377707696,792.5611406351353,2212.5605046823607,12.458129618699903,49.24006923068887,93.46693447305522,19.282206676405462,23.67616077197757,1927.8810679453516,7251.836322619009,204.49257641606098,147.2527726133345
0087-001-001,2019-20,Mainland Rural,45418.67411039295,1146.9514145926767,4954.011369337874,28.596404222686008,64.07829722054133,200.45705959999185,27.20480704314972,53.26378654511426,3360.2380465104147,9227.73687992995,275.39000872616947,210.22225418256104
0087-001-002,2019-20,Mainland Rural,37164.63737206465,894.2504823795789,2247.8553357636697,14.657940333262665,61.59356311624979,78.99891630315993,23.104670334309162,27.896306369249196,2288.506186107499,8693.412312526501,248.56389778107433,170.558030814318
0088-001-001,2019-20,Mainland Rural,63934.00707284852,1508.7715529327845,2499.554489645049,12.948368703461535,124.42124640366472,123.66908647214923,43.48133741810107,31.033657156978705,3587.4357110815126,17009.231506901404,479.2990947072977,301.2320047028254
0089-001-001,2019-20,Mainland Rural,95183.18251547083,2195.145998621732,8771.001768183563,38.62927945585232,161.51372694897285,467.0365809597464,60.61191652175934,64.79555014829408,6541.04243271724,22597.253549220404,643.0499511709697,423.47653553151787
0089-002-001,2019-20,Mainland Rural,40421.62972528988,1005.2985077088634,4612.965288710883,26.910973330414357,61.078463098020414,183.45302043933472,24.72152464713438,46.20400885821569,3018.841618079302,8562.437030467305,255.1216152976648,185.66204934586375
0089-002-002,2019-20,Mainland Other Urban,29497.75302017228,749.4743669556195,2211.9210555208633,13.924633377887584,46.401771664892046,79.39332284744897,18.252664096748923,28.186846353488384,1758.6333984367282,6605.479278737739,192.02755100889357,139.66599022509237
0090-001-001,2019-20,Mainland Rural,59786.60264084408,1484.821679361971,7717.473270743252,34.300375744502155,72.28966123799067,411.4246670419489,33.74680569652256,68.4175783299887,5731.809481359933,11027.92434749123,330.8911855494319,266.9845971791085
0090-001-005,2019-20,Mainland Other Urban,32064.670402816344,824.6359194364497,2932.1685806322,17.779096279720598,45.3134176805534,111.19872649825312,19.039662692943697,35.580394236299725,2158.239102962527,6605.36172053792,195.14384826422807,150.51072158588593
0091-001-001,2019-20,Mainland Other Urban,24218.320040736595,633.6150051916508,2116.495364569755,13.862137099739657,36.66332715991568,70.01509634377129,14.73414453253015,26.71780416246035,1481.0530505483448,5239.377232710349,154.23218093620264,115.75996938782667
0092-001-001,2019-20,Mainland Other Urban,45161.06195113322,1132.7793780951522,3520.5094451806954,22.400324370840696,67.27552061150857,124.44356195173941,27.159616699538756,44.13608223609675,2776.2365223834236,9713.78165900139,282.6676707406769,209.9249556843632
0093-001-001,2019-20,Dar Es Salaam,46767.17723146041,1163.5597687111308,5209.706666307912,32.704015893881945,55.203671117902594,188.3104113519057,24.476941391408705,52.982093164165555,3775.745881294555,8529.40507610003,250.94212182244846,203.3175269440626
0096-001-001,2019-20,Mainland Other Urban,60487.03121644467,1453.8896163229588,3714.756711697361,20.289754682377033,94.64749525402155,166.3502766584535,37.06257934356044,43.738445521462005,3740.799854372121,13709.898824816426,389.5610435650769,276.41639737900107
0096-002-002,2019-20,Mainland Rural,42683.93599034044,1035.5589782776317,2454.165473159145,17.136739544055335,77.42235136967305,74.91238655116692,27.964457012958846,31.633395839964713,2397.210429179101,10634.178680733941,304.419140186877,200.8104250176711
0097-001-001,2019-20,Mainland Other Urban,28937.439779013825,747.7661307749257,2377.0551016408185,15.80511883648279,46.908933462539444,79.48572568038504,17.820903617308332,29.768961715559712,2075.2516752525394,6554.77563273211,193.40070679592858,137.8400940013041
0097-001-003,2019-20,Mainland Other Urban,57940.18792181994,1356.32468529268,2627.975180086159,17.159491139200384,111.82174867314227,88.39265348669657,38.61842062548534,29.85293800793302,2473.8121470617084,15272.793948166456,427.61597030302136,267.9741017791824
0098-001-001,2019-20,Dar Es Salaam,24680.933244608816,630.6680409174465,2270.2724066934,14.486414593270656,37.33273306997797,77.57357119988632,14.66317284272442,24.96246791566566,1441.3282225890196,5360.092527461286,155.52778697612388,114.39855575600633
0099-001-001,2019-20,Mainland Rural,53714.99799767426,1290.1706991931294,3834.973487789372,19.8204881730951,82.67585895961932,184.13427818834018,32.76797012172707,41.48129737663948,3943.1711443190566,11960.054528996949,343.1867237061355,244.28958341175047
0099-001-004,2019-20,Dar Es Salaam,39445.540456153154,999.3596826970465,6304.179765904297,29.14074947036806,38.15768137293427,319.1038588319302,20.57618714446933,54.09426184698077,3706.3554733189394,6261.74559691529,191.77148988573725,172.7730863039277
0099-001-006,2019-20,Mainland Other Urban,27034.241816647835,673.8803441534642,1487.516693863523,9.838094705692617,48.494649580579,49.2286655355858,17.685582946641468,20.245390754347497,1344.442705604107,6715.717067022411,191.80118821147988,129.33466647939605
0099-008-001,2019-20,Mainland Rural,46013.42361816353,1113.9642240715257,2802.6702106443863,17.15806350578896,83.47609071075603,106.0506611850647,30.360641775645135,33.156475827559184,2483.9427197825285,11478.510613139542,327.90858182721706,216.48389862143074
0100-001-001,2019-20,Mainland Rural,33572.87362586468,828.1563248838996,2462.5105139325983,15.643341545393596,62.06560590104643,86.62076086989121,22.40632984350961,27.74805797237499,1883.864118389194,8416.831195638279,242.9066092633085,159.7071859300328
