,Energy,Protein,Iron,Calcium,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin D,Magnesium
147337.43944342597,87436.82896468212,2307.0805435490342,430.42992506419597,13689.107805728183,41684.35916429187,42.386080058006904,333.9717625653486,1479.7613865484748,254.9997537413643,8510.252804319274
150841.99697230826,89289.73363456939,2349.3060380212783,439.4364243110061,13981.226206115382,42656.198097874876,43.220863763662294,340.54896057219463,1521.5047550891697,260.1322507648809,8695.899155783356
154346.55450119055,91138.11569754803,2391.248003508657,448.4272739472085,14272.058802919839,43624.82936917554,44.05129625989136,347.0773091392743,1563.28086818626,265.22860533729465,8882.07293558759
157851.11203007284,92982.08007056045,2432.9138204948613,457.40289043702654,14561.630735344013,44590.283384113674,44.87746102782875,353.5579078116306,1605.0855545829447,270.289593359608,9068.7653923277
161355.66955895512,94821.7275748362,2474.3105509510247,466.3636729934251,14849.966360946552,45552.59099394289,45.699438939774126,359.99181569557976,1646.9149226330435,275.3159638799738,9255.967982541626
164860.2270878374,96657.15513956433,2515.444957071592,475.3100044348177,15137.089282512716,46511.783363721086,46.51730835334031,366.3800533922935,1688.7653380889728,280.30844025248075,9443.67236533328
168364.7846167197,98488.45602107911,2556.3235192338343,484.24225212881277,15423.022378781054,47467.89187330076,47.33114521561777,372.7236049214046,1730.6334046061875,285.2677213202927,9631.87039972953
171869.34214560196,100315.72000370239,2596.952452519861,493.16076885693747,15707.787833463104,48420.94803024229,48.141023161520295,379.0234195177518,1772.5159459532008,290.1944825284287,9820.554141338873
175373.89967448424,102139.03356841335,2637.337721595621,502.06589353141777,15991.40716022487,49370.98338499558,48.94701359975627,385.2804132576517,1814.4099893891791,295.08937692895915,10009.715836816596
178878.45720336653,103958.48008478805,2677.4850552659677,510.95795203356823,16273.901232108234,50318.02947512005,49.749185810590454,391.49547070896546,1856.312751288139,299.9530362278616,10199.34792181895
