i,t,m,0
0263-001-001,2019-20,Dar Es Salaam,99636.63975618663
0263-001-004,2019-20,Mainland Rural,47171.276884926614
0263-001-006,2019-20,Mainland Rural,32404.10468894492
0264-001-001,2019-20,Dar Es Salaam,30686.706391587442
0265-001-001,2019-20,Mainland Other Urban,19499.59919139089
0266-001-001,2019-20,Mainland Other Urban,29195.882355469003
0267-001-001,2019-20,Mainland Rural,33057.13842742793
0267-001-003,2019-20,Mainland Rural,39096.42395910098
0267-001-006,2019-20,Dar Es Salaam,59859.04753656547
0268-001-002,2019-20,Mainland Rural,32581.013756104323
0269-001-001,2019-20,Mainland Rural,30369.96253391308
0270-002-001,2019-20,Dar Es Salaam,44455.47960213008
0271-002-001,2019-20,Dar Es Salaam,40339.35831300267
0272-001-001,2019-20,Dar Es Salaam,49481.929469839175
0273-001-001,2019-20,Dar Es Salaam,42032.530881755876
0273-005-001,2019-20,Dar Es Salaam,24720.216029400748
0274-001-001,2019-20,Dar Es Salaam,19865.893970316072
0275-001-002,2019-20,Mainland Rural,99237.06472678174
0277-001-001,2019-20,Dar Es Salaam,42799.56774138386
0277-008-001,2019-20,Dar Es Salaam,18695.78826655236
0278-001-001,2019-20,Dar Es Salaam,32546.489412123672
0279-002-001,2019-20,Dar Es Salaam,28679.8649569505
0279-002-002,2019-20,Dar Es Salaam,35774.47227699422
0280-001-001,2019-20,Dar Es Salaam,47228.23519211289
0280-001-003,2019-20,Dar Es Salaam,27300.747791388018
0280-001-004,2019-20,Dar Es Salaam,30033.433915030455
0283-001-001,2019-20,Dar Es Salaam,19804.266487162728
0283-003-001,2019-20,Dar Es Salaam,35304.63619692007
0283-003-002,2019-20,Dar Es Salaam,22486.64620458239
0284-001-001,2019-20,Dar Es Salaam,23424.187764463786
0287-001-001,2019-20,Dar Es Salaam,29426.530564315915
0288-001-001,2019-20,Dar Es Salaam,29913.50028356105
0291-001-001,2019-20,Dar Es Salaam,25775.77028845229
0291-001-005,2019-20,Dar Es Salaam,16491.48888529699
0292-001-001,2019-20,Mainland Rural,41092.60230267603
0294-001-001,2019-20,Dar Es Salaam,28763.20833153278
0295-001-001,2019-20,Mainland Rural,27677.510673126206
0296-001-002,2019-20,Mainland Rural,17403.336628163644
0298-006-001,2019-20,Dar Es Salaam,62748.040542669594
0298-006-004,2019-20,Mainland Other Urban,27291.14707330002
0298-006-006,2019-20,Mainland Other Urban,36386.86649773567
0298-006-007,2019-20,Mainland Other Urban,24112.422065957315
0299-001-001,2019-20,Mainland Rural,26999.50450313263
0300-001-001,2019-20,Mainland Rural,63997.50056257835
0300-001-002,2019-20,Mainland Rural,34833.71505532331
0301-001-001,2019-20,Mainland Rural,36502.33013907777
0302-001-001,2019-20,Mainland Rural,59847.48217599023
0303-001-001,2019-20,Mainland Rural,22350.523137495828
0304-001-001,2019-20,Mainland Rural,53483.29782600724
0305-001-001,2019-20,Dar Es Salaam,32370.512444115146
0306-001-001,2019-20,Mainland Rural,30101.08494215488
0307-001-001,2019-20,Mainland Rural,31386.9004140071
0308-001-001,2019-20,Mainland Rural,36951.814270596165
0309-001-001,2019-20,Mainland Rural,34354.17397285358
0310-001-001,2019-20,Mainland Rural,16532.38572405674
